user,text,created_at,retweet_count,favorite_count
elonmusk,It does https://t.co/zYhPJhSigw,2025-03-31T15:23:04.000Z,253,1282
elonmusk,Very important https://t.co/9N4c8Jo1VE,2025-03-31T15:22:26.000Z,208,1077
elonmusk,Utter madness! https://t.co/NoywkcaGlU,2025-03-31T15:21:55.000Z,246,1736
elonmusk,"As I’ve said previously, unsupervised full self-driving Teslas will be carrying passengers in Austin in June and many cities in America by end of year. 

This will enable passenger cars to increase in utility by roughly half an order of magnitude overnight with a software update. https://t.co/ADgZNQzmRz",2025-03-31T15:17:23.000Z,674,3707
elonmusk,"When the radical left can’t win via democratic vote, they abuse the legal system to jail their opponents.

This is their standard playbook throughout the world. https://t.co/FgmgeyQ2rp",2025-03-31T14:56:28.000Z,3801,18425
elonmusk,Former federal officer sentenced for smuggling aliens and receiving bribes from cartel https://t.co/84jVQlys2B,2025-03-31T14:38:32.000Z,2673,11564
elonmusk,"Easiest money you ever made!

You don’t even need to be from Wisconsin, you just need to get people in the state to hold a picture of @TeamSchimel (can be on a phone/device or paper) in one hand and go thumbs up with the other hand. 

Every time you do that you get $20 and they https://t.co/2JqpcFmtpJ",2025-03-31T07:25:09.000Z,8101,30278
elonmusk,I think about this often https://t.co/qHgVAwiB4u,2025-03-31T05:44:12.000Z,27145,245292
elonmusk,Precisely https://t.co/mk4uuB7jCu,2025-03-31T05:41:50.000Z,7495,46221
elonmusk,https://t.co/siFOr0m0eA https://t.co/6O2kgF0E6z,2025-03-31T05:16:32.000Z,2661,22598
elonmusk,You can ask Grok anything! https://t.co/OQYXnvlONx,2025-03-31T04:51:01.000Z,5465,80028
elonmusk,kek https://t.co/ZAFd3XLdpO,2025-03-31T04:34:22.000Z,7198,47043
elonmusk,https://t.co/JlJkuvzvJU,2025-03-31T04:32:49.000Z,12110,144518
elonmusk,😂 https://t.co/bp1Fp3ePBv,2025-03-31T04:30:30.000Z,5097,50917
elonmusk,😂💯 https://t.co/S6l7MmkyuM,2025-03-31T04:24:48.000Z,6670,37897
elonmusk,Yup https://t.co/aGKj8FVBK7,2025-03-31T04:24:14.000Z,7459,50062
elonmusk,https://t.co/FlOxXhfuow,2025-03-31T04:21:59.000Z,5444,35431
elonmusk,💯 https://t.co/zDBYAuPyML,2025-03-31T04:01:47.000Z,3742,19617
elonmusk,https://t.co/06l6sDTW4H,2025-03-31T03:25:22.000Z,4335,25451
elonmusk,https://t.co/5mQQjMR7mv,2025-03-31T03:22:37.000Z,5350,32181
elonmusk,It really is https://t.co/gF5jOhlhDC,2025-03-31T03:20:21.000Z,5053,24260
elonmusk,💯 https://t.co/hZO3u56Vki,2025-03-31T03:12:06.000Z,14279,61236
elonmusk,"This is why the Tuesday Supreme Court election in Wisconsin is so important nationally. 

The left wants to redraw the Wisconsin voting districts to gain control of the US House of Representatives. https://t.co/L195gM05Fa",2025-03-31T03:10:36.000Z,14680,45771
elonmusk,You could make over $1000 in one day just by getting out the vote in Wisconsin! https://t.co/SPnApUbwoD,2025-03-31T03:06:03.000Z,6248,29286
elonmusk,https://t.co/1eaWcy3LfW,2025-03-31T02:59:30.000Z,13247,102261
elonmusk,Wow https://t.co/XVZ8ia9P2o,2025-03-31T02:58:13.000Z,3593,36526
elonmusk,"Yes, it is utterly insane. 

The American people would have been disenfranchised if the machine represented by the Kamala puppet had won. 

Thankfully, we have President Trump. https://t.co/DMQQlKkP9a",2025-03-31T02:54:27.000Z,25690,97492
elonmusk,Starting in 5 mins! https://t.co/JmrdrtYUkX,2025-03-31T00:33:01.000Z,6340,37656
elonmusk,Resending https://t.co/YUnXslZIYq,2025-03-31T00:27:37.000Z,6223,29143
elonmusk,https://t.co/XbfEhulfan,2025-03-31T00:17:33.000Z,8546,32499
elonmusk,Talk in Wisconsin starting soon! https://t.co/LjAiUpoY6N,2025-03-31T00:15:01.000Z,7471,49502
elonmusk,🇺🇸🇺🇸 https://t.co/Eq5JPCbodE,2025-03-30T23:34:00.000Z,3589,17099
elonmusk,Adding voter ID to the Wisconsin Constitution is also at stake on Tuesday https://t.co/HG7WjFXe38,2025-03-30T23:17:01.000Z,16052,70238
elonmusk,Yes https://t.co/aEqvL067V2,2025-03-30T23:15:23.000Z,10273,33174
elonmusk,Looking forward to it https://t.co/rwnstDkrKj,2025-03-30T22:16:09.000Z,16708,96523
elonmusk,Interesting https://t.co/V2tVlxFkTI,2025-03-30T21:59:08.000Z,7187,30803
elonmusk,"1000%

What’s at issue here is control of the US House of Representatives. 

This Wisconsin Supreme Court race might decide the future of America and Western Civilization! 

It’s a big deal. https://t.co/zUuNPtFbMK",2025-03-30T21:00:44.000Z,17674,52962
elonmusk,https://t.co/JjX6KCSauS,2025-03-30T20:45:08.000Z,3187,16779
elonmusk,Nothing has changed https://t.co/4jI1Ls4xbD,2025-03-30T20:31:15.000Z,25112,83881
elonmusk,https://t.co/tGnEmsCoAO,2025-03-30T20:13:42.000Z,1679,8737
elonmusk,"First of all, there are no cuts to Medicaid, Social Security or other entitlements, unless stopping fraud is considered a “cut”. 

Second, organizing a campaign to call for the death of someone is illegal. The organizers and funders will be found and prosecuted. https://t.co/xzWxFLeda6",2025-03-30T19:55:30.000Z,45875,185275
elonmusk,"Based on the videos I’ve seen so far, the worst fear of the paid Tesla “protestors” appears to be having to get a real job",2025-03-30T19:51:18.000Z,16310,150258
